post_url,post_username,caption,post_timestamp
https://www.instagram.com/p/DZRYAU7k3uJ/,,"3 likes, 0 comments - mediaalkhairaat pada June 6, 2026: ""OJK Panggil Solusiku Terkait Dugaan Pelanggaran dalam Proses Penagihan

#ojksulteng
#ojk
#solusiku #pelamggaran #mediaalkhairaat 

https://med",2026-06-07T04:36:25.000Z
https://www.instagram.com/p/DZh63qnkq18/,,"10 likes, 0 comments - ojk_sulselsulbar pada June 13, 2026: ""OJK Panggil Solusiku, Tindak Tegas Dugaan Pelanggaran Penagihan

Sobat OJK,

OJK telah memanggil PT Anugerah Digital Indonesia (pemilik mer",2026-06-13T14:48:56.000Z
https://www.instagram.com/p/DZl_JRTE9W0/,,"11 likes, 0 comments - ojk_maluku pada June 14, 2026: ""OJK Panggil Solusiku, Tindak Tegas Dugaan Pelanggaran Penagihan

Sobat OJK,

OJK telah memanggil PT Anugerah Digital Indonesia (pemilik merek “So",2026-06-15T04:43:15.000Z
